Unnamed: 0,Name,Average Vol. (3m),Market Cap,Revenue,P/E Ratio,Beta
,Eli Lilly,3.16M,540.57B,32.07B,108.28,0.329
,Eltek,49.55K,83.86M,44.85M,14.04,-1.58
,EMCORE,230.85K,30.7M,104.04M,-0.34,1.35
,Emerson,2.99M,50.46B,15.17B,3.84,1.38
,Emmis Comm,1.89K,65.25M,,-1.94,1.12
,Encore Capital,159.04K,1.02B,1.18B,-116.05,
,Endo Int,115.06K,729.18K,2.07B,-0.003,1.43
,Energy Recovery,535.19K,1.1B,113.45M,70.99,
,Enerpac Tool Group,368.54K,1.52B,598.20M,34.12,1.31
,Engie,6.69K,41.73B,97.73B,-6.69,0.959
,ENGlobal,92.85K,10.5M,40.79M,-0.47,1.77
,Enstar,33.36K,4.15B,905.00M,6.11,0.575
,Entegris,1.22M,15.6B,3.66B,78.03,1.26
,Entergy,1.62M,21.38B,12.70B,14.38,0.676
,Enterprise,11.15K,324.75M,166.39M,7.73,0.584
,Enterprise Financial,124.78K,1.44B,598.27M,6.96,1.05
,Enzon,11.73K,8.9M,26.00K,-39.13,0.419
,EOG Resources,2.84M,72.02B,23.73B,9.11,1.51
,EQT,4.83M,16.8B,6.18B,5.13,1.12
,Equifax,776.53K,25.97B,5.14B,49.51,1.41
,Equinix,356.38K,74.64B,7.49B,84.91,
,Equity Residential,1.83M,22.24B,2.85B,31.51,0.879
,Erie Indemnity,112.49K,15.31B,3.15B,38.12,0.401
,Escalade,22.33K,273.91M,270.20M,28.29,1.19
,Escalon Medical Corp,8.68K,1.82M,12.52M,3.50,-0.369
,ESSA Bancorp,20.28K,161.73M,68.76M,8.64,0.32
,Essential Utilities,1.45M,9.65B,2.28B,19.46,0.768
,Estee Lauder,2.54M,44.34B,15.50B,80.41,1.07
,Euro Tech,3.74K,11.27M,14.95M,30.00,0.839
,Euronet,478.78K,4.03B,3.60B,15.48,1.38
,Euroseas,29.04K,198.53M,183.18M,1.80,
,Eversource Energy,2.81M,20.7B,12.25B,17.73,0.561
,EW Scripps A,496.19K,645.65M,2.36B,-0.98,1.99
,EXACT Sciences,1.42M,11.93B,2.41B,-42.24,1.46
,Exceed Company,1.00K,33,,,6.0
,Exelon,5.59M,39.01B,21.03B,18.24,0.638
,ExlServices,1.05M,4.66B,1.59B,26.64,0.99
,Expedia,2.29M,18.94B,12.57B,24.21,1.67
,Expeditors Washington,1.19M,17.17B,10.46B,22.08,1.0
,Exponent,222.36K,3.93B,495.91M,39.07,0.636
,Extreme,2.36M,2.13B,1.37B,22.50,
,Exxon Mobil,18.93M,417.94B,350.39B,10.42,
,EZCORP,364.97K,450.87M,1.05B,15.65,1.25
,F5 Networks,449.86K,10.04B,2.81B,25.51,1.03
,FalconStor,3.33K,9.27M,10.27M,-3.44,2.1
,Fanhua,24.55K,406.27M,3.36B,7.03,0.13
,Farmer Bros. Co,93.61K,55.81M,342.03M,-0.73,1.63
,Farmers National,62.88K,472.37M,163.01M,9.42,0.832
,FARO,184.99K,346.67M,363.85M,-5.62,1.24
,Fastenal,3.27M,34.84B,7.28B,30.67,1.11
,Federated Investors B,812.32K,2.58B,1.59B,10.30,1.05
,FedEx,1.75M,64.77B,88.59B,15.63,1.36
,Ferroglobe,941.81K,933.42M,1.72B,9.60,2.18
,FFD Financial Corp,0.85K,82.15M,,11.51,0.319
,Fidelity National Info,4.71M,32.88B,14.65B,-1.35,0.851
,Fifth Third,5.21M,18.56B,8.23B,7.71,1.25
,Financial Institutions,37.06K,275.09M,198.27M,5.34,0.906
,First Bancorp,155.42K,1.29B,383.44M,10.91,1.07
,First Bancorp Inc,11.02K,277.02M,83.06M,8.39,0.516
,First Bancshares,0.25K,56.23M,21.35M,8.81,0.235
,First Busey,122.96K,1.17B,450.61M,8.92,0.834
,First Business,11.21K,283.12M,135.38M,7.84,0.772
,First Capital,3.98K,88.12M,41.66M,6.46,0.503
,First Citizens BancShares,62.48K,20.66B,6.46B,1.87,0.956
,First Community,11.84K,134.89M,59.09M,10.59,0.522
,First Community Bancshares,36.53K,627.44M,152.04M,12.08,0.571
,First Financial Bancorp,301.69K,1.94B,803.74M,7.14,1.07
,First Financial Bankshares,558.70K,3.75B,490.18M,17.86,0.82
,First Financial Northwest,5.67K,106.71M,46.28M,12.55,0.439
,First Horizon National,6.79M,6.76B,3.07B,6.93,0.985
,First Interstate BancSystem,608.79K,2.67B,1.03B,9.35,
,First Merchants,179.78K,1.86B,665.60M,7.34,1.1
,First of Long Island,76.89K,259.54M,102.11M,8.64,
,First Savings,3.88K,103.61M,84.30M,12.86,0.735
,First Solar,2.18M,16.49B,3.16B,34.90,1.42
,First United,5.90K,122.89M,75.76M,5.97,0.794
,FirstCash,203.03K,5.06B,3.05B,22.27,0.767
,FirstEnergy,3.52M,21.6B,12.71B,41.15,0.479
,Fiserv,2.63M,75.5B,18.81B,26.27,0.898
,Flex,3.73M,11.43B,30.04B,15.00,1.3
,Flexsteel,11.36K,90.04M,392.61M,5.90,0.607
,Flowserve,1.02M,5.01B,4.19B,20.35,1.56
,Fluor,1.94M,6.46B,15.36B,52.02,2.17
,Flushing,88.38K,406.69M,185.61M,12.60,0.727
,FMC,1.99M,6.62B,4.96B,13.44,0.897
,Fonar,18.54K,128.28M,101.29M,11.89,0.945
,Ford Motor,50.32M,41.63B,174.23B,6.78,1.69
,FormFactor,486.36K,2.96B,660.93M,-409.35,
,Formula Systems ADR,0.71K,947.33M,2.64B,14.57,0.482
,Forrester,52.21K,490.02M,499.58M,234.59,0.927
,Fortinet,6.47M,41.03B,5.17B,36.35,1.14
,Fortress Biotech,375.03K,32.84M,61.97M,-0.20,2.06
,Forward Air,539.25K,1.67B,1.72B,15.75,1.16
,Forward Industries,14.81K,7.55M,41.42M,-2.86,0.45
,Franklin Electric,148.71K,4.14B,2.08B,21.38,0.973
,Franklin Financial,4.25K,144.37M,66.13M,10.45,0.518
,Franklin Resources,3.06M,11.78B,7.85B,13.85,1.37
,Freeport-McMoran,9.82M,52.83B,22.71B,24.63,2.05
,Frequency Electronics,25.10K,86.01M,44.98M,-248.43,0.302
,Fuel Tech,53.42K,32.51M,27.76M,-23.48,4.26
,FuelCell Energy,11.18M,527.23M,140.13M,-3.89,3.68
,Fulton,1.16M,2.32B,1.03B,7.98,0.813
,G-III Apparel,549.26K,1.29B,3.20B,-7.30,2.67
,Gaia Inc,35.75K,62.64M,79.29M,-12.92,0.912
,GameSquare Holdings,50.64K,18.48M,25.58M,-18.58,1.1
,GameStop Corp,3.30M,3.72B,5.81B,-37.50,-0.209
,Gap,9.33M,6.99B,14.83B,157.39,1.91
,Garmin,703.29K,23.16B,5.05B,22.29,
,Gen Digital,3.77M,13.63B,3.78B,9.61,
,Gencor,15.69K,218.25M,107.28M,17.69,0.544
,General Dynamics,1.17M,67.42B,41.46B,20.53,
,General Electric,4.58M,130.57B,83.81B,13.66,1.2
,General Mills,4.55M,37.89B,20.28B,15.71,0.258
,General Motors,14.86M,38.59B,171.97B,3.95,1.49
,Genetic Technologies,110.72K,18.99M,10.35M,-0.022,0.579
,Gentex,1.48M,7.28B,2.20B,18.28,0.971
,Gentherm,186.57K,1.53B,1.45B,85.66,1.37
,Genuine Parts,959.96K,19.26B,23.03B,15.51,0.952
,Genworth,2.69M,2.66B,7.46B,7.82,1.02
,German American Bancorp,63.34K,864.49M,252.49M,9.71,0.642
,Geron,5.52M,1.07B,317.00K,-5.78,
,Gevo,3.83M,276.57M,13.37M,-3.79,3.09
,Giga Media Ltd,5.23K,15.47M,4.52M,-14.89,0.333
,Giga-tronics,20.62K,1.39M,36.60M,-0.08,2.35
,Gilat,92.09K,364.39M,263.11M,25.95,0.602
,Gilead,5.48M,93.93B,27.39B,16.02,0.336
,Glacier,647.65K,3.64B,821.92M,14.62,0.79
,Gladstone Commercial,188.79K,510.71M,148.89M,-46.99,1.15
,Glen Burnie,4.58K,15.13M,13.85M,7.22,0.699
,Global Indemnity,2.28K,465.46M,574.20M,21.35,0.417
,Globe Life,523.26K,11.42B,5.36B,14.81,0.778
,Globus Maritime,224.35K,40.06M,32.40M,22.35,0.154
,Golar,858.90K,2.28B,277.89M,40.15,0.706
,Gold Fields ADR,4.31M,11.99B,4.32B,17.98,0.646
,Goldman Sachs,1.88M,116.48B,44.11B,16.26,1.43
,Good Times,12.36K,29.13M,138.99M,3.02,2.02
,Goodyear Tire & Rubber Co,3.29M,4B,20.32B,-7.98,
,Graham Holdings,15.32K,2.84B,4.31B,18.83,1.05
,Gravity Co,18.90K,493.31M,756.10B,4.38,0.654
,Great Lakes Dredge&Dock,351.33K,458.96M,554.55M,-11.71,1.06
,Great Southern Bancorp,23.60K,619.73M,235.16M,8.16,0.764
,Green Brick Partners Inc,372.52K,2.17B,1.76B,8.22,
,Green Plains Energy,1.04M,1.45B,3.50B,-10.27,1.79
,Greene County,12.14K,419.88M,71.29M,14.57,0.381
,Greenlight Capital Re,78.51K,399.31M,645.29M,3.79,0.961
,Greystone Housing,35.05K,368.89M,54.24M,8.34,0.722
,Grifols ADR,512.78K,8.58B,6.54B,386.18,0.534
,Gruma SAB de CV,0.40K,7.23B,6.49B,14.17,0.428
,Grupo Aeroportuario Sureste ADR,70.29K,7.09B,26.22B,11.87,0.731
,Grupo Televisa ADR,2.97M,1.42B,74.49B,-1.56,1.09
,GSI Technology,133.12K,58M,23.12M,-3.30,0.862
,GTX Inc,147.11K,22.11M,659.00K,-0.52,1.3
,Gulf Island Fabrication,52.41K,68.57M,144.66M,-2.20,0.497
,Gulf Resources,16.33K,14.61M,41.76M,-2.45,0.503
,Gyrodyne of America,0.97K,14.09M,,-2.87,0.384
,H&R Block,1.38M,6.79B,3.48B,12.75,0.645
,Halliburton,6.47M,34.07B,22.86B,13.11,2.14
,Hallmark,5.48K,3.11M,165.95M,-0.03,1.28
,Halozyme,867.53K,5.33B,780.71M,21.23,1.24
,Hancock Whitney,593.01K,3.52B,1.40B,7.28,1.34
,Hanmi,157.44K,499.23M,258.44M,5.59,0.965
,Harley-Davidson,1.36M,4.25B,5.93B,6.11,1.42
,Harmony Gold Mining,4.22M,3.62B,49.28B,14.06,0.952
,Hartford,1.47M,23.51B,24.17B,10.58,0.829
,Harvard Bioscience,90.49K,198.93M,112.52M,-60.78,1.53
,Hasbro,1.89M,6.4B,5.39B,-11.45,0.745
,Hawaiian,2.60M,260.23M,2.78B,-1.23,2.1
,Haynes,42.07K,613.03M,589.96M,14.88,1.51
,HCI Group Inc,91.18K,750.69M,504.83M,17.75,0.884
,HDFC Bank ADR,2.12M,139.54B,1.57T,17.09,0.716
,Healthcare Services,718.63K,739.23M,1.67B,23.45,0.464
,Healthpeak Properties,4.96M,9.23B,2.15B,37.84,0.979
,Helmerich Payne,1.27M,3.74B,2.87B,9.07,1.69
,Henry Schein,999.71K,9.1B,12.69B,20.61,0.841
,Hershey Co,1.41M,39.2B,11.16B,20.50,0.351
,Hess,2.84M,44.47B,10.22B,30.42,
,Hologic,1.77M,17.22B,4.03B,38.66,1.03
,Home Bancorp,10.72K,300.09M,135.34M,7.13,
,Home Depot,2.89M,309.23B,153.71B,19.94,0.936
,Honda Motor ADR,1.05M,51.49B,18.43T,8.44,0.707
,Honeywell,2.66M,127.51B,36.41B,23.81,1.05
,Hong Kong TV Network,0.25K,302.9M,3.73B,,
,Hong Yuan Holding Group,13.20K,2.16M,,-29.00,2.58
,Hope Bancorp,714.99K,1.17B,563.90M,7.35,1.2
,Horizon Bancorp,145.01K,491.87M,224.27M,6.51,0.927
,Hormel Foods,3.09M,17.88B,12.20B,20.32,0.243
,Host Hotels Resorts,6.67M,12.46B,5.26B,16.44,1.29
,Hovnanian Enterprises,61.02K,617.65M,2.76B,3.94,2.58
,HP Inc,8.48M,28.3B,53.72B,8.69,1.05
,Hudson,419.91K,585.62M,291.61M,10.89,1.21
,Humana,1.00M,63.8B,102.35B,21.54,0.614
,Huntington Bancshares,13.96M,15.76B,7.22B,7.06,1.13
,IAC/InterActiveCorp,650.02K,4.16B,4.55B,-64.52,1.28
,IBM,3.96M,141.7B,61.17B,20.26,0.762
,ICE,2.47M,65.47B,7.56B,26.44,0.985
,ICICI Bank ADR,4.30M,78.17B,1.31T,16.12,0.802
,IFF,2.04M,19.08B,11.62B,1.12K,1.17
,Ignite Nutra,1.81K,30,,,77.24
,IGT,1.38M,5.45B,4.27B,54.26,2.0
,Illinois Tool Works,1.07M,72.77B,16.10B,23.33,1.15
,Illumina,2.20M,15.62B,4.47B,-13.74,1.16
,Imunon,22.91K,8.27M,125.00K,-0.28,2.05
,Infosys ADR,6.84M,71.39B,18.55B,23.69,0.605
,Ingersoll Rand,2.78M,28.87B,6.68B,37.67,1.47
,Inotiv,218.27K,73.22M,582.15M,-0.20,
,Intel,38.05M,185.34B,52.86B,-110.63,0.893
,International Paper,2.83M,11.39B,19.45B,45.23,1.03
,Internet Initiative Japan ADR,0.78K,3.14B,258.94B,25.54,0.17
,Intuit,1.39M,158B,14.37B,66.59,1.18
,Intuitive Surgical,1.85M,111.96B,6.85B,73.51,1.3
,Invesco,4.39M,6.21B,5.75B,10.46,
,Ionis Pharma,1.04M,7.15B,615.03M,-17.40,0.458
,IPG,3.71M,11.73B,9.36B,12.59,1.17
,IPG Photonics,228.04K,4.47B,1.32B,53.91,1.3
,Iron Mountain,1.56M,18.46B,5.34B,65.89,0.925
,Itron,317.90K,3.03B,2.06B,40.20,1.33
,ITT,426.57K,8.99B,3.23B,20.65,
,J&J,7.31M,367.11B,98.66B,11.36,0.572
,Jabil Circuit,1.65M,16.78B,34.70B,21.25,1.4
,Jacobs Engineering,667.45K,15.55B,16.35B,23.34,0.826
,Janone,1.28M,1.88M,39.61M,0.10,1.76
,JB Hunt,774.47K,18.88B,13.18B,24.43,
,Jefferies Financial,1.35M,7.37B,4.80B,25.22,
,JetBlue,16.83M,1.41B,9.71B,-7.61,1.74
,JM Smucker,1.42M,11.57B,8.46B,-690.55,0.312
,Johnson Controls,4.30M,35.65B,26.61B,17.48,1.26
,JPMorgan,8.91M,443.89B,142.43B,9.14,1.1
,Juniper,3.18M,8.71B,5.65B,23.90,0.932
,KB Home,1.29M,4.21B,6.68B,6.71,1.65
,Kellanova,2.83M,18.31B,15.87B,22.13,0.435
,Keurig Dr Pepper,8.40M,45.61B,14.75B,23.59,0.672
,KeyCorp,14.27M,11.27B,6.09B,9.79,1.27
,Kimberly-Clark,1.72M,41.37B,20.43B,23.35,0.395
,Kimco Realty,4.92M,11.61B,1.77B,26.44,1.48
,Kinross Gold,11.99M,6.86B,4.20B,28.16,0.929
,KLA Corp,936.68K,75.75B,10.17B,24.78,1.34
,Kohl’s Corp,5.32M,2.56B,17.54B,-17.64,1.87
,Kraft Heinz,7.80M,42.86B,27.16B,14.39,0.691
,Kroger,4.66M,31.78B,148.04B,19.08,0.476
,Kyocera ADR,19.84K,19.32B,2.00T,26.89,0.317
,L3Harris Technologies,1.32M,36.2B,18.66B,24.38,0.685
,Laboratory America,787.25K,18.06B,15.07B,28.30,1.05
,LadRx,1.72K,321.81K,,1.76,1.67
,Lam Research,1.02M,94.56B,15.84B,24.36,1.52
,Lamar,489.35K,10.05B,2.09B,24.26,1.43
,Las Vegas Sands,4.58M,37.4B,8.57B,55.68,1.21
,Lazard,688.56K,2.41B,2.43B,-24.19,1.39
,LB Foster,24.16K,221.41M,546.04M,-5.12,0.868
,Leggett&Platt,1.28M,3.11B,4.81B,14.84,1.28
,Lennar,2.09M,35.92B,33.44B,8.67,1.48
,Liberty Global,2.02M,6.57B,7.41B,-1.41,1.27
,Lincoln National,2.82M,4.08B,14.74B,-1.72,1.81
,Lindsay,82.54K,1.34B,674.08M,18.51,0.631
,LiNiu Tech,2.16K,123,,,-5.57
,Liveramp,421.78K,2.2B,621.18M,-38.09,
,Lockheed Martin,1.32M,112.14B,67.69B,16.44,
,Loews,772.41K,15.47B,15.44B,10.42,0.804
,Lowe’s,2.72M,114.47B,90.22B,15.36,1.06
,Lumen Technologies,15.79M,1.27B,14.84B,-0.11,1.04
,M&T Bank,958.86K,20.85B,9.34B,7.20,0.833
,M/I Homes,259.53K,2.94B,4.28B,5.94,2.07
,Macy’s Inc,12.10M,4.07B,23.93B,6.04,1.94
,Magna Intl,1.09M,15.65B,41.91B,15.12,1.69
,Makita,13.73K,6.87B,743.05B,48.79,0.945
,Manitowoc,252.97K,514.7M,2.25B,-5.33,
,Marathon Oil,10.21M,14.84B,6.45B,9.39,2.31
,Marathon Petroleum,3.18M,56.76B,152.73B,5.63,1.56
,Marriott Int,1.64M,61.36B,6.13B,22.11,1.58
,Marsh McLennan,1.47M,99.07B,22.20B,28.66,0.958
,Marvell,9.01M,48.34B,5.62B,-127.04,1.4
,Masco,1.76M,13.28B,8.01B,16.10,1.2
,Mastercard,2.44M,386.83B,24.37B,35.80,1.07
,Mattel,3.18M,6.63B,5.22B,79.10,1.18
,MBIA,366.99K,375.88M,91.00M,-0.89,1.25
,McCormick&Co,2.06M,17.85B,6.61B,28.12,0.661
,McDonald’s,2.96M,204.94B,25.01B,24.66,0.699
,McKesson,736.17K,61.39B,291.10B,18.01,
,Medtronic,6.60M,105.04B,31.96B,25.54,0.722
,Merck&Co,6.51M,258.14B,59.32B,56.00,0.375
,Merriman,0.83K,895.97,,-0.052,-0.993
,MetLife,3.68M,47.04B,64.61B,-125.54,1.06
,MGIC Investment,1.68M,4.9B,1.16B,7.09,1.29
,MGM,4.86M,13.74B,15.33B,13.41,2.18
,Microchip,4.51M,45.05B,8.94B,18.00,1.6
,Micron,12.69M,84.41B,15.54B,-14.40,1.3
,Microsoft,23.37M,2.81T,218.31B,36.37,0.885
,Middleby Corp,442.81K,6.71B,4.06B,14.58,1.56
,Mitsubishi UFJ Financial ADR,3.30M,101.84B,6.61T,8.41,0.748
,Mitsui & Company,2.49K,54.78B,13.26T,7.92,
,Mizuho Financial ADR,593.51K,42.96B,2.88T,10.03,0.561
,Molson Coors Brewing B,1.51M,12.95B,11.54B,54.24,
,Monster Beverage,5.50M,57.4B,6.92B,36.77,
,Moody’s,707.19K,66.32B,5.73B,43.88,
,Morgan Stanley,8.28M,129.09B,53.38B,13.92,1.38
,Mosaic,3.74M,11.9B,15.03B,9.22,1.57
,Motorcar Parts,95.34K,195.09M,702.89M,-220.00,1.37
,Motorola,621.77K,53.25B,9.84B,31.48,
,Mullen Automotive,51.90M,72.29M,308.00K,-0.01,2.29
,Murphy Oil,1.43M,6.65B,3.27B,9.03,
,Nabors Industries,219.11K,882.15M,3.04B,-8.82,2.77
,Nasdaq Inc,2.25M,31.91B,6.00B,24.56,0.947
,National Beverage,146.04K,4.54B,1.18B,29.22,0.964
,NCR,1.58M,2.29B,7.90B,-17.60,1.75
,NetApp,1.55M,16.36B,6.20B,13.90,1.2
,NetEase,959.24K,72.18B,101.68B,20.32,0.568
,Netflix,5.29M,209.89B,32.74B,47.08,1.24
,New Zealand Oil Gas,0.60K,51.02M,98.78M,7.98,0.355
,Newegg Commerce,510.39K,367.64M,1.55B,-5.36,1.56
,Newell Brands,6.83M,3.1B,8.34B,-5.59,1.01
,Newmont Goldcorp,13.26M,43.36B,11.06B,-36.85,0.428
,News Corp,1.31M,12.76B,9.90B,90.74,1.36
,News Corp A,3.00M,12.76B,9.90B,94.50,1.36
,NewYork Times,1.11M,7.47B,2.39B,38.88,1.12
,NextEra Energy,14.72M,118.08B,27.40B,15.06,0.536
,Nike,8.31M,163.82B,51.47B,32.80,1.11
,Nippon ADR,113.64K,97.8B,13.21T,12.43,0.144
,NiSource,5.86M,10.79B,5.79B,16.10,0.502
,Nomura ADR,6.68M,12.2B,1.43T,14.37,0.731
,Nordstrom,5.29M,2.44B,14.59B,20.37,2.44
,Norfolk Southern,1.23M,48.81B,12.32B,23.55,1.29
,Northern Trust,1.42M,15.81B,6.73B,14.48,
,Northrop Grumman,819.73K,71.1B,38.69B,15.40,0.424
,Nov,3.46M,7.51B,8.31B,15.09,1.89
,Novanta,185.59K,5.17B,888.47M,68.07,1.28
,NRG,3.31M,10.36B,29.87B,-5.78,0.979
,Nucor,1.32M,38.64B,35.73B,7.93,1.66
,Nustar,790.03K,2.35B,1.61B,36.41,1.73
,NVIDIA,46.04M,1.18T,44.87B,64.17,1.69
,NXP,2.05M,51.58B,13.17B,18.41,1.57
,O-I Glass,1.45M,2.3B,7.16B,6.04,1.38
,Oak Ridge,1.19K,39.9M,26.36M,5.66,
,Occidental,9.01M,52.8B,29.30B,13.13,1.73
,ODP,273.51K,1.79B,8.13B,10.08,1.74
,Oi ADR Pref,4.35K,82.41M,10.06B,-0.05,1.51
,Omnicom,1.32M,15.85B,14.50B,11.43,
,ONEOK,5.03M,39.22B,17.47B,12.33,1.66
,Option Care Health,1.76M,5.35B,4.21B,21.07,1.31
,Oracle,9.56M,318.45B,50.96B,33.50,0.991
,Orix,18.60K,21.02B,2.66T,11.42,0.973
,Oshkosh,547.53K,6.37B,9.39B,12.16,1.36
,Overseas Shipholding,336.03K,361.83M,457.61M,8.28,0.486
,O’Reilly Automotive,391.16K,58.4B,15.62B,26.05,0.83
,PACCAR,2.25M,48.12B,34.18B,11.70,0.916
,Pan American Silver NQ,2.90M,5.34B,1.45B,,
,Paramount Global B,3.49M,9.41B,30.15B,-7.98,
,Parker-Hannifin,655.16K,55.72B,19.68B,23.70,
,Pathward Financial,164.71K,1.29B,643.81M,8.30,0.821
,Patterson,933.35K,3.12B,6.52B,14.65,1.3
,Patterson-UTI Energy,6.74M,4.99B,3.35B,9.70,2.43
,Paychex,1.68M,42.81B,5.09B,26.82,
,PepsiCo,5.38M,235.62B,91.62B,28.15,0.576
,Perdoceo Education,453.88K,1.15B,738.23M,8.02,1.13
,Performance Shipping,513.53K,27.95M,110.88M,0.35,0.346
,Petroleo Brasileiro Petrobras ADR,18.40M,97.39B,536.32B,3.50,1.09
,Pfizer,28.13M,172.22B,68.54B,16.44,0.579
,PG E,16.43M,35.96B,22.76B,19.85,1.15
,Philip Morris,4.16M,146.45B,34.28B,18.27,0.8
,Pinnacle West,825.44K,8.31B,4.71B,17.39,0.51
,Pioneer Natural,2.80M,55.46B,19.47B,10.98,1.41
,Piper Sandler,78.24K,2.31B,1.27B,31.06,1.35
,Pitney Bowes,1.52M,695.63M,3.30B,-17.96,2.24
,Plus Therapeutics,667.79K,7.37M,3.75M,-0.29,0.451
,PNC Financial,2.09M,51.27B,20.97B,8.95,1.12
,PPG Industries,1.40M,32.17B,18.08B,22.77,1.21
,PPL,6.09M,19.39B,8.57B,23.63,0.844
,Premier Financial,140.52K,723.23M,313.66M,6.18,1.27
,Principal Financial,1.16M,17.32B,14.08B,11.49,1.27
,Procter&Gamble,5.77M,356.79B,83.27B,23.92,0.459
,Progressive,2.30M,95.77B,58.66B,35.37,0.426
,Prologis,3.08M,105.17B,8.17B,34.22,1.03
,Prudential Financial,1.41M,34.59B,51.53B,26.84,1.39
,Public Service Enterprise,2.64M,32.44B,11.77B,11.55,0.62
,Public Storage,853.19K,44.97B,4.48B,23.26,0.497
,PulteGroup,2.31M,18.99B,17.07B,7.15,1.44
,Puma SE,0.20K,9.24B,8.82B,27.65,1.14
,Qualcomm,8.03M,142.19B,35.82B,19.79,1.22
,Quest Diagnostics,890.57K,15.24B,9.30B,20.04,0.906
,QuickLogic,44.34K,180.41M,17.80M,-49.74,1.61
,Qurate Retail A,6.25M,355.78M,11.30B,35.90,
,Radware,179.49K,646.75M,270.34M,-33.73,0.903
,Ralph Lauren A,759.12K,8.05B,6.50B,15.49,1.43
,Rambus,1.25M,7.25B,461.26M,25.19,1.22
,Range Resources,2.60M,8.07B,3.09B,5.97,2.1
,"RegenETP,",23.60K,65.46K,73.00K,-0.01,0.823
,Regions Financial,9.20M,14.93B,7.26B,8.00,1.24
,Regis Resources,3.54K,877.56M,1.13B,-55.16,0.949
,Reliance Steel&Aluminum,305.65K,15.4B,15.08B,11.13,0.931
,Republic First Bancorp,58.35K,5.87M,164.07M,0.71,0.926
,Republic Services,1.11M,50.47B,14.66B,30.90,0.686
,Revvity,803.41K,11.12B,2.80B,15.19,
,Ribbon Com,404.83K,364.07M,833.58M,-6.82,1.06
,Riot Platforms,20.61M,2.48B,262.01M,-6.86,4.25
,Rm2 International,2.03K,48.81M,,-4.15,0.836
,Robert Half,753.75K,8.46B,6.65B,18.40,1.27
,Rockwell Automation,870.27K,31.31B,9.06B,22.72,1.46
,Rogers Communications,352.36K,22.82B,18.14B,29.55,0.467
,Roper Technologies,331.11K,56.14B,6.00B,19.14,1.02
,Ross Stores,2.24M,44.39B,19.57B,26.00,1.0
,Royal Gold,357.85K,7.7B,608.84M,32.95,0.688
,RPC,1.36M,1.58B,1.70B,6.60,1.79
,Rtx Corp,10.36M,114.75B,67.09B,36.53,
,Ryanair ADR,455.54K,21.59B,12.73B,8.68,1.45
,Ryder System,376.38K,4.77B,11.85B,10.28,1.46
,S&P Global,1.14M,131.5B,12.28B,53.55,1.13
,Salesforce Inc,4.54M,218.32B,33.07B,140.27,1.19
,Sandridge Energy,299.40K,537.56M,170.83M,3.27,2.35
,Sarepta,1.50M,7.75B,1.10B,-10.59,0.955
,Schlumberger,8.06M,75.13B,32.02B,18.09,1.79
,Scully Royalty,6.24K,69M,63.69M,-4.02,1.13
,Seagate,2.80M,15.91B,6.80B,-21.28,1.06
,Seagen,1.40M,40.46B,2.30B,-53.54,
,Sealed Air,1.90M,4.84B,5.52B,15.44,1.28
,Seelos Therapeutics,5.70M,21.95M,1.55M,-0.32,2.32
,Sellas Life Sciences,513.91K,33.67M,0.00,-0.69,2.37
,Sempra Energy,2.83M,46.36B,16.68B,17.05,0.748
,Sharing Economy,966.51K,1.1M,317.32K,-0.06,-3.29
,Sherwin-Williams,1.37M,70.6B,23.03B,29.17,1.07
,Shyft Group Inc,371.37K,387.48M,971.88M,13.80,
,Sierra Bancorp,24.30K,267.99M,137.27M,7.59,0.966
,Sify,95.79K,292.54M,35.07B,61.49,1.51
,Simon Property,1.52M,45.34B,5.53B,17.93,1.61
,Sirius XM,14.56M,18.93B,8.95B,15.02,1.04
,Site Centers,1.88M,2.75B,565.16M,32.10,1.61
,SLM,2.00M,3.25B,1.08B,10.67,1.23
,Smart Powerr,14.51K,8.68M,,-2.15,0.985
,Snap-On,225.07K,14.52B,5.06B,14.64,1.06
,Sohu.Com,41.91K,291.83M,619.71M,-11.88,1.47
,Sony ADR,692.31K,105.83B,12.48T,19.50,0.901
,Southern,4.30M,75.92B,26.26B,25.02,0.552
,Southern Copper,908.58K,57.37B,10.42B,19.95,1.29
,Southwest Airlines,7.12M,14.83B,25.44B,29.76,1.16
,Southwestern Energy,20.07M,7.52B,8.21B,1.45,1.4
,Sprott Physical Gold and Silver Trust,417.38K,4.03B,452.31M,9.23,-0.012
,SSR Mining,1.30M,2.29B,1.31B,10.85,0.942
,Stabilis Solutions,11.42K,87.85M,84.65M,-53.75,0.934
,Standard Biotools,630.25K,193.72M,105.17M,-2.54,1.47
,Stanley Black Decker,1.41M,14.01B,16.03B,-238.19,1.33
,Star Equity Holdings,54.47K,16.78M,104.28M,0.71,0.408
,Starbucks,6.49M,116.83B,35.98B,28.49,0.976
,State Street,1.92M,21.72B,12.02B,10.05,1.55
,Statera Biopharma,0.50K,725.84K,2.44M,-0.01,0.299
,Steakholder Foods PK,5.37K,250.61K,,-0.054,15.87
,StealthGas,238.92K,241.87M,152.12M,5.12,0.959
,Steel Dynamics,1.28M,18.04B,19.39B,7.12,1.48
,Stericycle,522.10K,4.2B,2.68B,-922.45,1.18
,Stewart Info Services,160.92K,1.25B,2.33B,35.90,1.09
,Stryker,1.55M,111.55B,19.89B,43.00,
,SunPower,4.82M,732.3M,1.83B,-7.64,
,Synovus,1.40M,4.37B,2.16B,6.76,1.38
